ID,Invoice_Number,Date,Product_Name,Price,Quantity_Soldd,Cost_per_Unit,Purchase_Type,Payment_Method,StoreID
1,11501,01/12/2023,Burgers,12.99,153.19,4.32,In-store,Credit Card,88781
2,11502,01/12/2023,Chicken Sandwiches,9.95,63.92,2.85,In-store,Credit Card,88781
3,11503,01/12/2023,Fries,3.49,1013.75,0.88,In-store,Credit Card,88781
4,11504,01/12/2023,Beverages,2.95,468.81,0.47,In-store,Credit Card,88781
5,11505,01/12/2023,Sides & Other,4.99,62.93,2.25,In-store,Credit Card,88781
6,15156,01/12/2023,Burger,12.99,23.25,4.32,In-store,Cash,88781
7,15157,01/12/2023,Chicken Sandwiches,9.95,8.24,2.85,In-store,Cash,88781
8,15158,01/12/2023,Fries,3.49,23.5,0.88,In-store,Cash,88781
9,15158,01/12/2023,Fries,3.49,23.5,0.88,In-store,Cash,88781
10,15159,01/12/2023,Beverages,2.95,43.73,0.47,In-store,Cash,88781
11,15160,01/12/2023,Sides & Other,4.99,20.44,2.25,In-store,Cash,88781
12,18811,01/12/2023,Burgers,12.99,4.54,4.32,In-store,Gift card,88781
13,18812,01/12/2023,Chicken Sandwiches,9.95,1.91,2.85,In-store,Gift card,88781
14,18813,01/12/2023,Fries,3.49,8.31,0.88,In-store,Gift card,88781
15,18814,01/12/2023,Beverages,2.95,7.12,0.47,In-store,Gift card,88781
16,18815,01/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88781
17,22466,01/12/2023,Burgers,12.99,153.96,4.32,Drive-thru,Credit Card,88781
18,22467,01/12/2023,Chicken Sandwiches,9.95,50.75,2.85,Drive-thru,Credit Card,88781
19,22468,01/12/2023,Fries,3.49,118.62,0.88,Drive-thru,Credit Card,88781
20,22469,01/12/2023,Beverages,2.95,189.49,0.47,Drive-thru,Credit Card,88781
21,22470,01/12/2023,Sides & Other,4.99,23.05,2.25,Drive-thru,Credit Card,88781
22,26121,01/12/2023,Burgers,12.99,15.32,4.32,Drive-thru,Cash,88781
23,26122,01/12/2023,Chicken Sandwiches,9.95,20.8,2.85,Drive-thru,Cash,88781
24,26123,01/12/2023,Fries,3.49,139.54,0.88,Drive-thru,Cash,88781
25,26124,01/12/2023,Beverages,2.95,88.81,0.47,Drive-thru,Cash,88781
26,26125,01/12/2023,Sides & Other,4.99,18.24,2.25,Drive-thru,Cash,88781
27,29776,01/12/2023,Burgers,12.99,7.54,4.32,Drive-thru,Gift card,88781
28,29777,01/12/2023,Chicken Sandwiches,9.95,6.63,2.85,Drive-thru,Gift card,88781
29,29778,01/12/2023,Fries,3.49,24.93,0.88,Drive-thru,Gift card,88781
30,29779,01/12/2023,Beverages,2.95,13.22,0.47,Drive-thru,Gift card,88781
31,29780,01/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88781
32,33431,01/12/2023,Burgers,12.99,22.48,4.32,Online,Credit Card,88781
33,33432,01/12/2023,Chicken Sandwiches,9.95,4.52,2.85,Online,Credit Card,88781
34,33433,01/12/2023,Fries,3.49,246.13,0.88,Online,Credit Card,88781
35,33434,01/12/2023,Beverages,2.95,20.68,0.47,Online,Credit Card,88781
36,33435,01/12/2023,Sides & Other,4.99,19.04,2.25,Online,Credit Card,88781
37,37086,01/12/2023,Burgers,12.99,1.39,4.32,Online,Gift Card,88781
38,37087,01/12/2023,Chicken Sandwiches,9.95,1.11,2.85,Online,Gift Card,88781
39,37088,01/12/2023,Fries,3.49,8.31,0.88,Online,Gift Card,88781
40,37089,01/12/2023,Beverages,2.95,3.73,0.47,Online,Gift Card,88781
41,37090,01/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88781
42,40741,01/12/2023,Burgers,12.99,1255.89,4.32,In-store,Credit Card,88782
43,40742,01/12/2023,Chicken Sandwiches,9.95,144.02,2.85,In-store,Credit Card,88782
44,40743,01/12/2023,Fries,3.49,1153.3,0.88,In-store,Credit Card,88782
45,40744,01/12/2023,Beverages,2.95,62.37,0.47,In-store,Credit Card,88782
46,40745,01/12/2023,Sides & Other,4.99,34.67,2.25,In-store,Credit Card,88782
47,44396,01/12/2023,Burgers,12.99,17.55,4.32,In-store,Cash,88782
48,44397,01/12/2023,Chicken Sandwiches,9.95,2.91,2.85,In-store,Cash,88782
49,44398,01/12/2023,Fries,3.49,106.3,0.88,In-store,Cash,88782
50,44399,01/12/2023,Beverages,2.95,15.93,0.47,In-store,Cash,88782
51,44400,01/12/2023,Sides & Other,4.99,16.23,2.25,In-store,Cash,88782
52,48051,01/12/2023,Burgers,12.99,5.39,4.32,In-store,Gift card,88782
53,48052,01/12/2023,Chicken Sandwiches,9.95,1.31,2.85,In-store,Gift card,88782
54,48053,01/12/2023,Fries,3.49,8.88,0.88,In-store,Gift card,88782
55,48054,01/12/2023,Beverages,2.95,12.2,0.47,In-store,Gift card,88782
56,48055,01/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88782
57,51706,01/12/2023,Burgers,12.99,186.84,4.32,Drive-thru,Credit Card,88782
58,51707,01/12/2023,Chicken Sandwiches,9.95,64.82,2.85,Drive-thru,Credit Card,88782
59,51708,01/12/2023,Fries,3.49,164.18,0.88,Drive-thru,Credit Card,88782
60,51709,01/12/2023,Beverages,2.95,641.02,0.47,Drive-thru,Credit Card,88782
61,51710,01/12/2023,Sides & Other,4.99,82.36,2.25,Drive-thru,Credit Card,88782
62,55361,01/12/2023,Burgers,12.99,21.09,4.32,Drive-thru,Cash,88782
63,55362,01/12/2023,Chicken Sandwiches,9.95,9.75,2.85,Drive-thru,Cash,88782
64,55363,01/12/2023,Fries,3.49,457.02,0.88,Drive-thru,Cash,88782
65,55364,01/12/2023,Beverages,2.95,21.69,0.47,Drive-thru,Cash,88782
66,55365,01/12/2023,Sides & Other,4.99,100.8,2.25,Drive-thru,Cash,88782
67,59016,01/12/2023,Burgers,12.99,10.24,4.32,Drive-thru,Gift card,88782
68,59017,01/12/2023,Chicken Sandwiches,9.95,1.21,2.85,Drive-thru,Gift card,88782
69,59018,01/12/2023,Fries,3.49,34.38,0.88,Drive-thru,Gift card,88782
70,59019,01/12/2023,Beverages,2.95,8.81,0.47,Drive-thru,Gift card,88782
71,59020,01/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88782
72,62671,01/12/2023,Burgers,12.99,19.48,4.32,Online,Credit Card,88782
73,62672,01/12/2023,Chicken Sandwiches,9.95,7.14,2.85,Online,Credit Card,88782
74,62673,01/12/2023,Fries,3.49,69.34,0.88,Online,Credit Card,88782
75,62674,01/12/2023,Beverages,2.95,27.46,0.47,Online,Credit Card,88782
76,62675,01/12/2023,Sides & Other,4.99,6.81,2.25,Online,Credit Card,88782
77,66326,01/12/2023,Burgers,12.99,0.77,4.32,Online,Gift Card,88782
78,66327,01/12/2023,Chicken Sandwiches,9.95,1.11,2.85,Online,Gift Card,88782
79,66328,01/12/2023,Fries,3.49,16.33,0.88,Online,Gift Card,88782
80,66329,01/12/2023,Beverages,2.95,5.76,0.47,Online,Gift Card,88782
81,66330,01/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88782
82,69981,01/12/2023,Burgers,12.99,385.76,4.32,In-store,Credit Card,88783
